epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,364.527,1.68496,1.93067,1.8858,0.57894,0.36554,0.40124,0.13899,1.08775,4.77963,1.27214,0.000973861,0.000973861,0.000973861
44,373.05,1.66877,1.97399,1.87883,0.55768,0.33957,0.3734,0.14792,1.05124,6.59785,1.24295,0.000957358,0.000957358,0.000957358
45,381.493,1.66897,1.94632,1.88352,0.41405,0.4398,0.39511,0.17354,1.02652,9.38605,1.19984,0.000940855,0.000940855,0.000940855
46,389.852,1.6652,1.93857,1.88067,0.4014,0.3733,0.33924,0.14962,0.99359,6.3229,1.2127,0.000924352,0.000924352,0.000924352
47,398.359,1.65116,1.91393,1.86918,0.60485,0.32182,0.38689,0.15555,1.04421,6.18155,1.24189,0.000907848,0.000907848,0.000907848
48,406.712,1.6602,1.92042,1.86833,0.43146,0.32819,0.32741,0.12343,1.04685,8.45136,1.24545,0.000891345,0.000891345,0.000891345
49,415.281,1.60271,1.88521,1.82607,0.46447,0.45248,0.39901,0.14319,1.09143,8.30575,1.28197,0.000874842,0.000874842,0.000874842
50,423.675,1.63716,1.93046,1.86451,0.43058,0.45593,0.38894,0.15357,1.06859,6.19988,1.23826,0.000858338,0.000858338,0.000858338
51,432.023,1.62285,1.85885,1.85278,0.46566,0.41558,0.43372,0.17581,1.05747,6.14745,1.25177,0.000841835,0.000841835,0.000841835
52,440.393,1.65323,1.88095,1.84399,0.57271,0.36342,0.40285,0.16121,1.01671,6.64549,1.21669,0.000825332,0.000825332,0.000825332
53,448.788,1.58517,1.8692,1.83624,0.48283,0.38076,0.41051,0.1747,1.02178,4.42999,1.21352,0.000808828,0.000808828,0.000808828
54,457.154,1.62219,1.88732,1.84765,0.37854,0.3845,0.31477,0.12666,1.10006,4.07708,1.27949,0.000792325,0.000792325,0.000792325
55,465.669,1.60831,1.85873,1.84593,0.44748,0.41129,0.38474,0.15631,1.03895,5.35309,1.21811,0.000775822,0.000775822,0.000775822
56,474.154,1.6278,1.83119,1.83471,0.45282,0.40178,0.36688,0.14904,1.05918,5.28953,1.24647,0.000759318,0.000759318,0.000759318
57,482.754,1.61639,1.84934,1.83045,0.39853,0.45046,0.39431,0.15945,1.01571,8.89149,1.23089,0.000742815,0.000742815,0.000742815
58,491.127,1.61558,1.83105,1.82418,0.40907,0.52364,0.41074,0.16462,1.05467,5.13229,1.25812,0.000726312,0.000726312,0.000726312
